"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00387113","1928-04-08","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","    0",",,6,","    0",",,6,","    0",",,6,","  200",",,6","   22",",,6",,,,,,,,,,,,,,,,,,,"  178",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-04-09","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","   46",",,6,","    0",",,6,","    0",",,6,","  178",",,6","  -56",",S,6",,,,,,,,,,,,,,,,,,,"  183",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-04-10","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","   56",",,6,","    0",",,6,","    0",",,6,","  183",",,6","   50",",,6",,,,,,,,,,,,,,,,,,,"   72",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-04-11","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","  185",",,6,","    0",",,6,","    0",",,6,","   72",",,6","   33",",,6",,,,,,,,,,,,,,,,,,,"   72",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-04-12","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","    0",",,6,","    0",",,6,","    0",",,6,","  200",",,6","   17",",,6",,,,,,,,,,,,,,,,,,,"  167",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-04-13","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","    0",",,6,","    0",",,6,","    0",",,6,","  206",",,6","   22",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-04-14","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","    0","T,,6,","    0",",,6,","    0",",,6,","   89",",S,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-04-15","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","   91",",,6,","    0",",,6,","    0",",,6,","  189",",,6","   56",",,6",,,,,,,,,,,,,,,,,,,"   56",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-04-16","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","    0",",,6,","    0",",,6,","    0",",,6,","  133",",,6","   33",",,6",,,,,,,,,,,,,,,,,,,"  128",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-04-17","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","    0",",,6,","    0",",,6,","    0",",,6,",,,"  -11",",,6",,,,,,,,,,,,,,,,,,,"  178",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-04-18","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","    0",",,6,","    0",",,6,","    0",",,6,",,,"   39",",,6",,,,,,,,,,,,,,,,,,,"  206",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-04-19","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","    0",",,6,","    0",",,6,","    0",",,6,",,,"  122",",,6",,,,,,,,,,,,,,,,,,,"  194",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-04-20","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","   94",",,6,","    0",",,6,","    0",",,6,",,,"  144",",,6",,,,,,,,,,,,,,,,,,,"  189",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-04-21","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","   15",",,6,","    0",",,6,","    0",",,6,",,,"  111",",,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
